Organization,OrganizationName,MonitoringLocationID,MonitoringLocationName,WBID,AUID,join_Cycle,join_Ag,join_AQLif,join_Rec,join_WS,join_AQLti,join_RecTi,join_Cat,PortionDes,join_ImpAn,distance
USGS-CO,USGS Colorado Water Science Center,USGS-09061500,"COLUMBINE DITCH NEAR FREMONT PASS, CO.",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.004771466
USGS-CO,USGS Colorado Water Science Center,USGS-09061600,"EAST FORK EAGLE RIVER NEAR CLIMAX, CO",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.000287119
USGS-CO,USGS Colorado Water Science Center,USGS-09062000,"EWING DITCH AT TENNESSEE PASS, CO.",COUCEA03,COUCEA03_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.001122703
USGS-CO,USGS Colorado Water Science Center,USGS-09062500,"WURTZ DITCH NEAR TENNEESSEE PASS, CO.",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.018213637
USGS-CO,USGS Colorado Water Science Center,USGS-09063000,"EAGLE RIVER AT RED CLIFF, CO.",COUCEA02,COUCEA02_A,2018,F,F,F,N,C1,E,5,Mainstem of the Eagle River from the source to the compressor house bridge at Belden.,"5,As-T",0.000946525
USGS-CO,USGS Colorado Water Science Center,USGS-09063200,"WEARYMAN CREEK NEAR RED CLIFF, CO.",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.000152552
USGS-CO,USGS Colorado Water Science Center,USGS-09063400,"TURKEY CREEK NEAR RED CLIFF, CO",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.000138453
USGS-CO,USGS Colorado Water Science Center,USGS-09063900,"MISSOURI CREEK NEAR GOLD PARK, CO.",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.000560419
USGS-CO,USGS Colorado Water Science Center,USGS-09064000,"HOMESTAKE CREEK AT GOLD PARK, CO.",COUCEA04,COUCEA04_A,2018,F,F,F,F,C1,E,1,Mainstem of Homestake Creek from the confluence of the East Fork to the confluence with the Eagle River.,,0.000217109
USGS-CO,USGS Colorado Water Science Center,USGS-09064500,"HOMESTAKE CREEK NEAR RED CLIFF, CO.",COUCEA04,COUCEA04_A,2018,F,F,F,F,C1,E,1,Mainstem of Homestake Creek from the confluence of the East Fork to the confluence with the Eagle River.,,2.91177E-05
USGS-CO,USGS Colorado Water Science Center,USGS-09064600,"EAGLE RIVER NEAR MINTURN, CO",COUCEA05a,COUCEA05a_A,2018,F,T,F,N,C1,E,5,Mainstem of the Eagle River from the compressor house bridge at Belden to a point immediately above the Highway 24 Bridge near Tigiwon Road.,"4a,Cu-D; 4a,Zn-D; 5,As-T",0.000584728
USGS-CO,USGS Colorado Water Science Center,USGS-09065100,"CROSS CREEK NEAR MINTURN, CO",COUCEA07b,COUCEA07b_A,2018,F,T,F,F,C1,E,4a,"Mainstem of Cross Creek from a point immediately below the Minturn Middle School to the confluence with the Eagle River, except for those waters included in Segment 1.","4a,Cu-D; 4a,Zn-D",0.000468566
USGS-CO,USGS Colorado Water Science Center,USGS-09065500,"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",6.2816E-05
USGS-CO,USGS Colorado Water Science Center,USGS-09066000,"BLACK GORE CREEK NEAR MINTURN, CO.",COUCEA06,COUCEA06_G,2018,F,N,F,N,C1,E,5,"Black Gore Creek, below Miller Creek","3b,Bugs; 5,As-T; 5,Sediment",0.000119135
USGS-CO,USGS Colorado Water Science Center,USGS-09066050,"BLACK GORE CREEK NEAR VAIL, CO.",COUCEA06,COUCEA06_G,2018,F,N,F,N,C1,E,5,"Black Gore Creek, below Miller Creek","3b,Bugs; 5,As-T; 5,Sediment",0.000316105
USGS-CO,USGS Colorado Water Science Center,USGS-09066100,"BIGHORN CREEK NEAR MINTURN, CO",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.00026935
USGS-CO,USGS Colorado Water Science Center,USGS-09066150,"PITKIN CREEK NEAR MINTURN, CO.",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",7.11946E-05
USGS-CO,USGS Colorado Water Science Center,USGS-09066200,"BOOTH CREEK NEAR MINTURN, CO.",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000216677
USGS-CO,USGS Colorado Water Science Center,USGS-09066250,"GORE CREEK AT VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000654142
USGS-CO,USGS Colorado Water Science Center,USGS-09066300,"MIDDLE CREEK NEAR MINTURN, CO.",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000393941
USGS-CO,USGS Colorado Water Science Center,USGS-09066310,"GORE CREEK, LOWER STATION, AT VAIL, COLORADO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.00011082
USGS-CO,USGS Colorado Water Science Center,USGS-09066325,"GORE CREEK ABV RED SANDSTONE CREEK AT VAIL, CO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000200744
USGS-CO,USGS Colorado Water Science Center,USGS-09066400,"RED SANDSTONE CREEK NEAR MINTURN, CO.",COUCEA06,COUCEA06_E,2018,F,I,F,N,C1,E,5,Red Sandstone Creek from USFS Boundary to north side I-70 Frontage Road,"3b,Bugs; 5,As-T",0.000186068
USGS-CO,USGS Colorado Water Science Center,USGS-09066510,"GORE CREEK AT MOUTH NEAR MINTURN, CO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000216118
USGS-CO,USGS Colorado Water Science Center,USGS-09067000,"BEAVER CREEK AT AVON, CO",COUCEA06,COUCEA06_D,2018,F,N,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.000215236
USGS-CO,USGS Colorado Water Science Center,USGS-09067005,"EAGLE RIVER AT AVON, CO.",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000296798
USGS-CO,USGS Colorado Water Science Center,USGS-09067020,"EAGLE R BLW WASTEWATER TREATMENT PLANT AT AVON, CO",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000146618
USGS-CO,USGS Colorado Water Science Center,USGS-09067200,"LAKE CREEK NEAR EDWARDS, CO",COUCEA06,COUCEA06_C,2018,F,N,F,N,C1,E,5,Lake Creek from below the confluence with East and West Lake Creek to the mouth,"5,As-T; 5,Bugs(P)",0.000282654
USGS-CO,USGS Colorado Water Science Center,USGS-09068000,"BRUSH CREEK NEAR EAGLE, CO.",COUCEA12,COUCEA12_A,2018,F,F,F,F,C1,E,1,"Mainstem of Brush Creek, from the source to the confluence with the Eagle River, including the East and West Forks.",,0.00056143
USGS-CO,USGS Colorado Water Science Center,USGS-09068500,"BRUSH CREEK AT EAGLE, CO",COUCEA12,COUCEA12_A,2018,F,F,F,F,C1,E,1,"Mainstem of Brush Creek, from the source to the confluence with the Eagle River, including the East and West Forks.",,3.78686E-05
USGS-CO,USGS Colorado Water Science Center,USGS-09069000,"EAGLE RIVER AT GYPSUM, CO",COUCEA09c,COUCEA09c_A,2018,F,F,F,N,C1,E,5,Mainstem of the Eagle River from a point immediately below the confluence with Rube Creek to the confluence with the Colorado River.,"5,As-T",2.8678E-05
USGS-CO,USGS Colorado Water Science Center,USGS-09069500,"GYPSUM CREEK NEAR GYPSUM, CO.",COUCEA10a,COUCEA10a_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including all wetlands, from a point immediately below the confluence with Lake Creek to the confluence with the Colorado River, except for specific listings in Segments 10b, 11 and 12, and those waters included in Seg",,0.00062283
USGS-CO,USGS Colorado Water Science Center,USGS-09070000,"EAGLE RIVER BELOW GYPSUM, CO.",COUCEA09c,COUCEA09c_A,2018,F,F,F,N,C1,E,5,Mainstem of the Eagle River from a point immediately below the confluence with Rube Creek to the confluence with the Colorado River.,"5,As-T",0.000212433
USGS-CO,USGS Colorado Water Science Center,USGS-392511106164000,"EAST FORK EAGLE RIVER NEAR RED CLIFF, CO",COUCEA03,COUCEA03_A,2018,F,F,F,F,C1,E,1,"All tributaries to the Eagle River, including wetlands, from the source to the compressor house bridge at Belden, except for the specific listing in Segment 4 and those waters included in Segment 1.",,0.000280443
USGS-CO,USGS Colorado Water Science Center,USGS-392513106184500,S. FORK EAGLE R. ABV. E. FORK EAGLE R. NR REDCLIFF,COUCEA02,COUCEA02_A,2018,F,F,F,N,C1,E,5,Mainstem of the Eagle River from the source to the compressor house bridge at Belden.,"5,As-T",0.000293892
USGS-CO,USGS Colorado Water Science Center,USGS-393030106224700,"EAGLE RIVER BLW HOMESTAKE CREEK NR RED CLIFF, CO",COUCEA02,COUCEA02_A,2018,F,F,F,N,C1,E,5,Mainstem of the Eagle River from the source to the compressor house bridge at Belden.,"5,As-T",0.000542766
USGS-CO,USGS Colorado Water Science Center,USGS-393212106125800,BLACK GORE CREEK ABV BLACK LAKE,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.006545212
USGS-CO,USGS Colorado Water Science Center,USGS-393221106450700,EAST BRUSH CREEK ABOVE CONFLUENCE,COUCEA12,COUCEA12_A,2018,F,F,F,F,C1,E,1,"Mainstem of Brush Creek, from the source to the confluence with the Eagle River, including the East and West Forks.",,0.000480888
USGS-CO,USGS Colorado Water Science Center,USGS-393237106125900,VAIL PASS STORAGE AREA CULVERT,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.003057948
USGS-CO,USGS Colorado Water Science Center,USGS-393254106131100,VAIL PASS SAND SHED CULVERT,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.002053519
USGS-CO,USGS Colorado Water Science Center,USGS-393307106133200,BLACK GORE CREEK BELOW BLACK LAKE #2,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.000392624
USGS-CO,USGS Colorado Water Science Center,USGS-393501106313200,"BEAVER CREEK ABOVE AVON, CO",COUCEA06,COUCEA06_D,2018,F,F,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.000267257
USGS-CO,USGS Colorado Water Science Center,USGS-393523106364700,"WEST LAKE CREEK NEAR EDWARDS, CO",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000416657
USGS-CO,USGS Colorado Water Science Center,USGS-393527106143500,POLK CREEK AT INTERSTATE 70,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000363783
USGS-CO,USGS Colorado Water Science Center,USGS-393527106144300,UPPER RUNAWQA TRUCK RAMP DRAIN-VAIL PASS,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.000199553
USGS-CO,USGS Colorado Water Science Center,USGS-393527106144301,UPPER RUNAWAY TRUCK RAMP CULVERT 2 - VAIL PASS,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.000199553
USGS-CO,USGS Colorado Water Science Center,USGS-393552106311800,BEAVER CREEK ABV TOWN,COUCEA06,COUCEA06_D,2018,F,N,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.000600623
USGS-CO,USGS Colorado Water Science Center,USGS-393627106264000,"EAGLE RIVER ABOVE GORE CREEK NR. MINTURN, CO",COUCEA05c,COUCEA05c_A,2018,F,N,F,N,C1,E,5,Mainstem of the Eagle River from a point immediately above Martin Creek to a point immediately above the confluence with Gore Creek.,"4a,Cu-D; 4a,Zn-D; 5,Cd-D; 5,As-T; 5,Fe-D",0.000270383
USGS-CO,USGS Colorado Water Science Center,USGS-393633106311000,"BEAVER CREEK AT TOP OF GOLF COURSE AT AVON, CO",COUCEA06,COUCEA06_D,2018,F,N,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.001174026
USGS-CO,USGS Colorado Water Science Center,USGS-393706106274301,"EAGLE RIVER BELOW WHISKEY CREEK ABOVE AVON, CO",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000222295
USGS-CO,USGS Colorado Water Science Center,USGS-393713106253900,"GORE CREEK AT WEST VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000533961
USGS-CO,USGS Colorado Water Science Center,USGS-393715106253600,GORE CREEK AT STEPHENS PARK,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000527699
USGS-CO,USGS Colorado Water Science Center,USGS-393726106212000,MILL CREEK ON VAIL MOUNTAIN,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.001644959
USGS-CO,USGS Colorado Water Science Center,USGS-393737106165900,"GORE CREEK BLW BLACK GORE CREEK NEAR VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",3.93302E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393738106251000,GORE CREEK AT WEST VAIL EXIT,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.00083323
USGS-CO,USGS Colorado Water Science Center,USGS-393748106171401,"GORE CREEK AT BIGHORN PARK AT VAIL, CO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000235856
USGS-CO,USGS Colorado Water Science Center,USGS-393752106312700,BEAVER CREEK NR MOUTH,COUCEA06,COUCEA06_D,2018,F,F,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.001258542
USGS-CO,USGS Colorado Water Science Center,USGS-393756106244300,"GORE CREEK BELOW BUFFEHR CREEK NEAR WEST VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,F,F,N,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000124504
USGS-CO,USGS Colorado Water Science Center,USGS-393801106244800,BUFFER CREEK NR VAIL,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000610058
USGS-CO,USGS Colorado Water Science Center,USGS-393807106174600,"GORE CREEK ABV BIGHORN CREEK NEAR VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000181949
USGS-CO,USGS Colorado Water Science Center,USGS-393813106174500,"BIGHORN CREEK NEAR VAIL, CO",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.001044997
USGS-CO,USGS Colorado Water Science Center,USGS-393814106221500,MILL CREEK AT SKI AREA AT VAIL CO.,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000364451
USGS-CO,USGS Colorado Water Science Center,USGS-393822106341801,"EAGLE RIVER BELOW MCCOY CREEK NEAR EDWARDS, CO",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000402652
USGS-CO,USGS Colorado Water Science Center,USGS-393823106240000,"GORE CREEK BLW RED SANDSTONE CR AT VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000613181
USGS-CO,USGS Colorado Water Science Center,USGS-393824106221700,MILL CREEK NR VAIL,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000254082
USGS-CO,USGS Colorado Water Science Center,USGS-393825106213400,GORE CREEK DOWNSTREAM OF PULIS BRIDGE,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000100391
USGS-CO,USGS Colorado Water Science Center,USGS-393825106220000,"GORE CREEK BELOW GOLF COURSE, AT VAIL CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",3.31242E-05
